dataset	sample_name	depth	purity	damage_extent	damage_type	genuine_mutation_rate	base_error_rate
sim_50x	sim_50x_03_01_12	50	0.50	0.025	oxog	0.05	0.001
sim_50x	sim_50x_04_01_01	50	0.25	0.95	oxog	0.05	0.001
sim_50x	sim_50x_04_01_02	50	0.25	0.9	oxog	0.05	0.001
sim_50x	sim_50x_04_01_03	50	0.25	0.8	oxog	0.05	0.001
sim_50x	sim_50x_04_01_04	50	0.25	0.7	oxog	0.05	0.001
sim_50x	sim_50x_04_01_05	50	0.25	0.6	oxog	0.05	0.001
sim_50x	sim_50x_04_01_06	50	0.25	0.5	oxog	0.05	0.001
sim_50x	sim_50x_04_01_07	50	0.25	0.4	oxog	0.05	0.001
sim_50x	sim_50x_04_01_08	50	0.25	0.3	oxog	0.05	0.001
sim_50x	sim_50x_04_01_09	50	0.25	0.2	oxog	0.05	0.001
sim_50x	sim_50x_04_01_10	50	0.25	0.1	oxog	0.05	0.001
sim_50x	sim_50x_04_01_11	50	0.25	0.05	oxog	0.05	0.001
sim_50x	sim_50x_04_01_12	50	0.25	0.025	oxog	0.05	0.001
sim_50x	sim_50x_05_01_01	50	0.10	0.95	oxog	0.05	0.001
sim_50x	sim_50x_05_01_02	50	0.10	0.9	oxog	0.05	0.001
sim_50x	sim_50x_05_01_03	50	0.10	0.8	oxog	0.05	0.001
sim_50x	sim_50x_05_01_04	50	0.10	0.7	oxog	0.05	0.001
sim_50x	sim_50x_05_01_05	50	0.10	0.6	oxog	0.05	0.001
sim_50x	sim_50x_05_01_06	50	0.10	0.5	oxog	0.05	0.001
sim_50x	sim_50x_05_01_07	50	0.10	0.4	oxog	0.05	0.001
sim_50x	sim_50x_05_01_08	50	0.10	0.3	oxog	0.05	0.001
sim_50x	sim_50x_05_01_09	50	0.10	0.2	oxog	0.05	0.001
sim_50x	sim_50x_05_01_10	50	0.10	0.1	oxog	0.05	0.001
sim_50x	sim_50x_05_01_11	50	0.10	0.05	oxog	0.05	0.001
sim_50x	sim_50x_05_01_12	50	0.10	0.025	oxog	0.05	0.001
sim_50x	sim_50x_06_01_01	50	0.05	0.95	oxog	0.05	0.001
sim_50x	sim_50x_06_01_02	50	0.05	0.9	oxog	0.05	0.001
sim_50x	sim_50x_06_01_03	50	0.05	0.8	oxog	0.05	0.001
sim_50x	sim_50x_06_01_04	50	0.05	0.7	oxog	0.05	0.001
sim_50x	sim_50x_06_01_05	50	0.05	0.6	oxog	0.05	0.001
sim_50x	sim_50x_06_01_06	50	0.05	0.5	oxog	0.05	0.001
sim_50x	sim_50x_06_01_07	50	0.05	0.4	oxog	0.05	0.001
sim_50x	sim_50x_06_01_08	50	0.05	0.3	oxog	0.05	0.001
sim_50x	sim_50x_06_01_09	50	0.05	0.2	oxog	0.05	0.001
sim_50x	sim_50x_06_01_10	50	0.05	0.1	oxog	0.05	0.001
sim_50x	sim_50x_06_01_11	50	0.05	0.05	oxog	0.05	0.001
sim_50x	sim_50x_06_01_12	50	0.05	0.025	oxog	0.05	0.001
sim_50x	sim_50x_07_01_01	50	0.01	0.95	oxog	0.05	0.001
sim_50x	sim_50x_07_01_02	50	0.01	0.9	oxog	0.05	0.001
sim_50x	sim_50x_07_01_03	50	0.01	0.8	oxog	0.05	0.001
sim_50x	sim_50x_07_01_04	50	0.01	0.7	oxog	0.05	0.001
sim_50x	sim_50x_07_01_05	50	0.01	0.6	oxog	0.05	0.001
sim_50x	sim_50x_07_01_06	50	0.01	0.5	oxog	0.05	0.001
sim_50x	sim_50x_07_01_07	50	0.01	0.4	oxog	0.05	0.001
sim_50x	sim_50x_07_01_08	50	0.01	0.3	oxog	0.05	0.001
sim_50x	sim_50x_07_01_09	50	0.01	0.2	oxog	0.05	0.001
sim_50x	sim_50x_07_01_10	50	0.01	0.1	oxog	0.05	0.001
sim_50x	sim_50x_07_01_11	50	0.01	0.05	oxog	0.05	0.001
sim_50x	sim_50x_07_01_12	50	0.01	0.025	oxog	0.05	0.001
